ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,DEALSIZE
10163,21,100,1,4860.24,1,4,10,2003,Classic Cars,214,Medium
10174,34,100,4,8014.82,1,4,11,2003,Classic Cars,214,Large
10183,23,100,8,5372.57,1,4,11,2003,Classic Cars,214,Medium
10194,42,100,11,7290.36,1,4,11,2003,Classic Cars,214,Large
10206,47,100,6,9064.89,1,4,12,2003,Classic Cars,214,Large
10215,35,100,3,6075.3,1,1,1,2004,Classic Cars,214,Medium
10228,29,100,2,6463.23,1,1,3,2004,Classic Cars,214,Medium
10245,34,100,9,6120.34,1,2,5,2004,Classic Cars,214,Medium
10258,32,100,6,7680.64,1,2,6,2004,Classic Cars,214,Large
10270,21,100,9,4905.39,1,3,7,2004,Classic Cars,214,Medium
10280,34,100,2,8014.82,1,3,8,2004,Classic Cars,214,Large
10291,37,100,11,7136.19,1,3,9,2004,Classic Cars,214,Large
10304,47,100,6,10172.7,1,4,10,2004,Classic Cars,214,Large
10312,48,100,3,11623.7,1,4,10,2004,Classic Cars,214,Large
10322,40,100,1,6000.4,1,4,11,2004,Classic Cars,214,Medium
10333,26,100,3,3003,1,4,11,2004,Classic Cars,214,Medium
10347,30,100,1,3944.7,1,4,11,2004,Classic Cars,214,Medium
10357,32,100,10,5691.84,1,4,12,2004,Classic Cars,214,Medium
10369,41,100,2,4514.92,1,1,1,2005,Classic Cars,214,Medium
10381,36,100,3,8254.8,1,1,2,2005,Classic Cars,214,Large
10391,24,100,4,2416.56,1,1,3,2005,Classic Cars,214,Small
10411,23,100,9,4140.23,1,2,5,2005,Classic Cars,214,Medium
10107,39,99.91,5,3896.49,1,1,2,2003,Motorcycles,118,Medium
10120,29,96.34,3,2793.86,1,2,4,2003,Motorcycles,118,Small
10134,27,100,5,3307.77,1,3,7,2003,Motorcycles,118,Medium
10145,37,100,9,5192.95,1,3,8,2003,Motorcycles,118,Medium
10159,37,100,17,5016.83,1,4,10,2003,Motorcycles,118,Medium
10168,27,100,4,3660.93,1,4,10,2003,Motorcycles,118,Medium
10180,42,100,12,4695.6,1,4,11,2003,Motorcycles,118,Medium
10188,38,96.34,4,3660.92,1,4,11,2003,Motorcycles,118,Medium
10201,24,100,5,3025.92,1,4,12,2003,Motorcycles,118,Medium
10210,23,100,2,3009.09,1,1,1,2004,Motorcycles,118,Medium
10223,47,100,4,5422.39,1,1,2,2004,Motorcycles,118,Medium
10236,22,100,1,2852.08,1,2,4,2004,Motorcycles,118,Small
10251,44,100,5,5756.52,1,2,5,2004,Motorcycles,118,Medium
10263,40,100,5,4472,1,2,6,2004,Motorcycles,118,Medium
10275,22,100,4,2904.44,1,3,7,2004,Motorcycles,118,Small
10285,47,100,9,6484.59,1,3,8,2004,Motorcycles,118,Medium
10298,39,96.34,1,3757.26,1,3,9,2004,Motorcycles,118,Medium
10308,34,100,2,4043.96,1,4,10,2004,Motorcycles,118,Medium
10318,45,100,4,5566.5,1,4,11,2004,Motorcycles,118,Medium
10329,20,100,2,3176,1,4,11,2004,Motorcycles,118,Medium
10339,40,68.92,4,2756.8,1,4,11,2004,Motorcycles,118,Small
10361,26,51.15,8,1329.9,1,4,12,2004,Motorcycles,118,Small
10374,39,100,5,5288.01,1,1,2,2005,Motorcycles,118,Medium
10388,50,44.51,5,2225.5,1,1,3,2005,Motorcycles,118,Small
10402,45,100,1,5833.8,1,2,4,2005,Motorcycles,118,Medium
10107,27,100,4,6065.55,1,1,2,2003,Motorcycles,193,Medium
10120,46,100,2,9264.86,1,2,4,2003,Motorcycles,193,Large
10134,31,100,4,7023.98,1,3,7,2003,Motorcycles,193,Large
10145,33,100,8,5176.38,1,3,8,2003,Motorcycles,193,Medium
10159,22,100,16,4132.7,1,4,10,2003,Motorcycles,193,Medium
10168,20,100,3,4183,1,4,10,2003,Motorcycles,193,Medium
10180,41,100,11,8892.9,1,4,11,2003,Motorcycles,193,Large
10188,45,100,3,8714.7,1,4,11,2003,Motorcycles,193,Large
10201,49,100,4,8065.89,1,4,12,2003,Motorcycles,193,Large
10210,34,100,1,6123.4,1,1,1,2004,Motorcycles,193,Medium
10223,49,100,3,9774.03,1,1,2,2004,Motorcycles,193,Large
10237,39,100,9,7023.9,1,2,4,2004,Motorcycles,193,Large
10251,43,100,4,7078.23,1,2,5,2004,Motorcycles,193,Large
10263,41,100,4,8336.94,1,2,6,2004,Motorcycles,193,Large
10275,36,100,3,6901.92,1,3,7,2004,Motorcycles,193,Medium
10285,27,100,8,5438.07,1,3,8,2004,Motorcycles,193,Medium
10299,29,100,11,6683.34,1,3,9,2004,Motorcycles,193,Medium
10308,20,100,1,4570.4,1,4,10,2004,Motorcycles,193,Medium
10318,37,100,3,7667.14,1,4,11,2004,Motorcycles,193,Large
10329,26,100,3,5868.2,1,4,11,2004,Motorcycles,193,Medium
10339,39,76.67,3,2990.13,1,4,11,2004,Motorcycles,193,Small
10362,22,100,4,3664.1,1,1,1,2005,Motorcycles,193,Medium
10374,22,100,1,3834.38,1,1,2,2005,Motorcycles,193,Medium
10388,21,86.77,7,1822.17,1,1,3,2005,Motorcycles,193,Small
10403,66,100,9,11886.6,1,2,4,2005,Motorcycles,193,Large
10105,50,100,2,7208,1,1,2,2003,Classic Cars,136,Large
10119,46,100,11,5004.8,1,2,4,2003,Classic Cars,136,Medium
10129,33,100,2,4398.24,1,2,6,2003,Classic Cars,136,Medium
10143,49,100,15,5597.76,1,3,8,2003,Classic Cars,136,Medium
10155,32,100,13,4526.08,1,4,10,2003,Classic Cars,136,Medium
10167,44,100,9,5924.16,0,4,10,2003,Classic Cars,136,Medium
10178,24,100,12,3492.48,1,4,11,2003,Classic Cars,136,Medium
10186,26,100,9,3854.24,1,4,11,2003,Classic Cars,136,Medium
10197,45,100,6,5324.4,1,4,11,2003,Classic Cars,136,Medium
10209,39,100,8,5197.92,1,1,1,2004,Classic Cars,136,Medium
10222,49,100,12,5997.6,1,1,2,2004,Classic Cars,136,Medium
10248,20,100,3,2910.4,0,2,5,2004,Classic Cars,136,Small
10261,27,100,1,3378.24,1,2,6,2004,Classic Cars,136,Medium
10273,30,100,4,3508.8,1,3,7,2004,Classic Cars,136,Medium
10283,25,100,6,2992,1,3,8,2004,Classic Cars,136,Small
10295,24,100,1,3427.2,1,3,9,2004,Classic Cars,136,Medium
10307,22,100,9,2692.8,1,4,10,2004,Classic Cars,136,Small
10316,33,100,17,4128.96,1,4,11,2004,Classic Cars,136,Medium
10325,47,64.93,6,3051.71,1,4,11,2004,Classic Cars,136,Medium
10337,25,48.05,8,1201.25,1,4,11,2004,Classic Cars,136,Small
10350,26,75.47,5,1962.22,1,4,12,2004,Classic Cars,136,Small
10359,48,54.68,6,2624.64,1,4,12,2004,Classic Cars,136,Small
10373,39,100,3,4046.25,1,1,1,2005,Classic Cars,136,Medium
10384,34,100,4,4846.7,1,1,2,2005,Classic Cars,136,Medium
10395,32,100,2,3370.56,1,1,3,2005,Classic Cars,136,Medium
10400,64,100,9,9661.44,1,2,4,2005,Classic Cars,136,Large
10103,42,100,4,5398.26,1,1,1,2003,Classic Cars,147,Medium
10114,31,100,8,4305.28,1,2,4,2003,Classic Cars,147,Medium
10126,22,100,4,3347.74,1,2,5,2003,Classic Cars,147,Medium
10140,26,100,4,3188.12,1,3,7,2003,Classic Cars,147,Medium
10150,20,100,1,3191.2,1,3,9,2003,Classic Cars,147,Medium
10175,33,100,9,5362.83,1,4,11,2003,Classic Cars,147,Medium
10183,28,100,1,3433.36,1,4,11,2003,Classic Cars,147,Medium
10194,26,100,4,4263.74,1,4,11,2003,Classic Cars,147,Medium
10207,31,100,15,4076.19,1,4,12,2003,Classic Cars,147,Medium
10217,48,100,4,7020.48,1,1,2,2004,Classic Cars,147,Large
10229,50,100,9,6426.5,1,1,3,2004,Classic Cars,147,Medium
10245,28,100,2,4591.72,1,2,5,2004,Classic Cars,147,Medium
10259,26,100,12,4033.38,1,2,6,2004,Classic Cars,147,Medium
10270,32,100,2,4302.08,1,3,7,2004,Classic Cars,147,Medium
10281,44,100,9,7020.64,1,3,8,2004,Classic Cars,147,Large
10291,30,100,4,3855.9,1,3,9,2004,Classic Cars,147,Medium
10305,38,100,13,6680.78,1,4,10,2004,Classic Cars,147,Medium
10313,40,100,7,6678,1,4,10,2004,Classic Cars,147,Medium
10322,46,61.99,8,2851.54,1,4,11,2004,Classic Cars,147,Small
10347,27,100,2,4428,1,4,11,2004,Classic Cars,147,Medium
10357,43,100,9,5780.92,1,4,12,2004,Classic Cars,147,Medium
10370,35,65.63,4,2297.05,1,1,1,2005,Classic Cars,147,Small
10381,37,100,6,6231.54,1,1,2,2005,Classic Cars,147,Medium
10391,37,46.9,7,1735.3,1,1,3,2005,Classic Cars,147,Small
10411,27,100,2,4427.73,1,2,5,2005,Classic Cars,147,Medium
10108,33,100,6,5265.15,1,1,3,2003,Classic Cars,194,Medium
10122,42,100,10,7599.9,1,2,5,2003,Classic Cars,194,Large
10135,42,100,7,8008.56,1,3,7,2003,Classic Cars,194,Large
10147,48,100,7,9245.76,1,3,9,2003,Classic Cars,194,Large
10159,41,100,2,8296.35,1,4,10,2003,Classic Cars,194,Large
10169,30,100,2,5019.9,1,4,11,2003,Classic Cars,194,Medium
10181,27,100,14,5411.07,1,4,11,2003,Classic Cars,194,Medium
10191,21,100,3,3840.9,1,4,11,2003,Classic Cars,194,Medium
10203,20,100,8,3930.4,1,4,12,2003,Classic Cars,194,Medium
10211,41,100,2,7498.9,1,1,1,2004,Classic Cars,194,Large
10225,27,100,9,4517.91,1,1,2,2004,Classic Cars,194,Medium
10238,28,100,3,5774.72,1,2,4,2004,Classic Cars,194,Medium
10253,24,100,13,3922.56,0,2,6,2004,Classic Cars,194,Medium
10266,44,100,14,9160.36,1,3,7,2004,Classic Cars,194,Large
10276,50,100,3,9631,1,3,8,2004,Classic Cars,194,Large
10287,21,100,12,3432.24,1,3,8,2004,Classic Cars,194,Medium
10300,33,100,5,5521.89,1,4,10,2003,Classic Cars,194,Medium
10310,33,100,10,6934.62,1,4,10,2004,Classic Cars,194,Medium
10320,31,100,3,6876.11,1,4,11,2004,Classic Cars,194,Medium
10329,41,71.47,5,2930.27,1,4,11,2004,Classic Cars,194,Small
10341,45,79.65,2,3584.25,1,4,11,2004,Classic Cars,194,Medium
10363,33,85.39,3,2817.87,1,1,1,2005,Classic Cars,194,Small
10375,45,76,7,3420,1,1,2,2005,Classic Cars,194,Medium
10389,26,99.04,4,2575.04,1,1,3,2005,Classic Cars,194,Small
10419,12,100,13,1961.28,1,2,5,2005,Classic Cars,194,Small
10105,41,100,15,8690.36,1,1,2,2003,Classic Cars,207,Large
10117,33,100,9,6034.38,1,2,4,2003,Classic Cars,207,Medium
10127,46,100,2,11279.2,1,2,6,2003,Classic Cars,207,Large
10142,33,100,12,8023.29,1,3,8,2003,Classic Cars,207,Large
10153,20,100,11,4904,1,3,9,2003,Classic Cars,207,Medium
10165,44,100,3,8594.52,1,4,10,2003,Classic Cars,207,Large
10176,33,100,2,7474.5,1,4,11,2003,Classic Cars,207,Large
10185,21,100,13,3883.74,1,4,11,2003,Classic Cars,207,Medium
10196,47,100,5,8887.7,1,4,11,2003,Classic Cars,207,Large
10208,46,100,13,8602.92,1,1,1,2004,Classic Cars,207,Large
10220,32,100,2,7181.44,1,1,2,2004,Classic Cars,207,Large
10231,42,100,2,8378.58,1,1,3,2004,Classic Cars,207,Large
10247,44,100,2,10606.2,1,2,5,2004,Classic Cars,207,Large
10272,35,100,2,5818.4,1,3,7,2004,Classic Cars,207,Medium
10282,41,100,5,7071.27,1,3,8,2004,Classic Cars,207,Large
10293,46,100,8,8411.56,1,3,9,2004,Classic Cars,207,Large
10306,31,100,13,6570.76,1,4,10,2004,Classic Cars,207,Medium
10314,38,100,5,7975.44,1,4,10,2004,Classic Cars,207,Large
10325,42,64,8,2688,1,4,11,2004,Classic Cars,207,Small
10336,33,57.22,10,1888.26,1,4,11,2004,Classic Cars,207,Small
10348,48,52.36,8,2513.28,1,4,11,2004,Classic Cars,207,Small
10359,42,100,8,4764.48,1,4,12,2004,Classic Cars,207,Medium
10371,32,100,6,3560.64,1,1,1,2005,Classic Cars,207,Medium
10382,34,100,10,3823.64,1,1,2,2005,Classic Cars,207,Medium
10395,33,69.12,1,2280.96,1,1,3,2005,Classic Cars,207,Small
10413,36,100,2,8677.8,1,2,5,2005,Classic Cars,207,Large
10103,27,100,8,3394.98,1,1,1,2003,Trucks and Buses,136,Medium
10113,21,100,2,3415.44,1,1,3,2003,Trucks and Buses,136,Medium
10126,21,100,8,2439.57,1,2,5,2003,Trucks and Buses,136,Small
10140,38,100,8,4829.8,1,3,7,2003,Trucks and Buses,136,Medium
10150,30,100,5,4100.1,1,3,9,2003,Trucks and Buses,136,Medium
10174,43,100,1,6817.22,1,4,11,2003,Trucks and Buses,136,Medium
10183,41,100,5,6163.94,1,4,11,2003,Trucks and Buses,136,Medium
10194,38,100,8,4933.92,1,4,11,2003,Trucks and Buses,136,Medium
10206,28,100,3,4056.36,1,4,12,2003,Trucks and Buses,136,Medium
10216,43,100,1,5759.42,1,1,2,2004,Trucks and Buses,136,Medium
10229,25,100,13,3451,1,1,3,2004,Trucks and Buses,136,Medium
10245,38,100,6,5920.4,1,2,5,2004,Trucks and Buses,136,Medium
10258,41,100,3,6668.24,1,2,6,2004,Trucks and Buses,136,Medium
10270,28,100,6,4094.72,1,3,7,2004,Trucks and Buses,136,Medium
10281,25,100,13,2938.5,1,3,8,2004,Trucks and Buses,136,Small
10291,41,100,8,6387.8,1,3,9,2004,Trucks and Buses,136,Medium
10304,39,100,3,6396,1,4,10,2004,Trucks and Buses,136,Medium
10313,21,100,11,2669.1,1,4,10,2004,Trucks and Buses,136,Small
10322,27,100,9,4784.13,1,4,11,2004,Trucks and Buses,136,Medium
10333,33,99.21,6,3273.93,1,4,11,2004,Trucks and Buses,136,Medium
10347,29,100,3,3586.43,1,4,11,2004,Trucks and Buses,136,Medium
10357,49,100,8,5960.36,1,4,12,2004,Trucks and Buses,136,Medium
10370,49,100,8,8470.14,1,1,1,2005,Trucks and Buses,136,Large
10381,20,100,1,2952,1,1,2,2005,Trucks and Buses,136,Small
10391,39,63.2,9,2464.8,1,1,3,2005,Trucks and Buses,136,Small
10411,40,100,6,6232,1,2,5,2005,Trucks and Buses,136,Medium
10107,21,100,1,3036.6,1,1,2,2003,Motorcycles,150,Medium
10121,50,100,4,8284,1,2,5,2003,Motorcycles,150,Large
10134,20,100,1,2711.2,1,3,7,2003,Motorcycles,150,Small
10145,49,100,5,8339.8,1,3,8,2003,Motorcycles,150,Large
10159,38,100,13,6238.84,1,4,10,2003,Motorcycles,150,Medium
10169,35,100,13,4639.25,1,4,11,2003,Motorcycles,150,Medium
10180,40,100,8,6747.6,1,4,11,2003,Motorcycles,150,Medium
10189,28,100,1,4512.48,1,4,11,2003,Motorcycles,150,Medium
10201,25,100,1,4029,1,4,12,2003,Motorcycles,150,Medium
10211,36,100,13,4771.8,1,1,1,2004,Motorcycles,150,Medium
10224,43,100,6,6087.94,1,1,2,2004,Motorcycles,150,Medium
10237,32,100,6,4193.28,1,2,4,2004,Motorcycles,150,Medium
10251,46,100,1,7552.28,1,2,5,2004,Motorcycles,150,Large
10263,48,100,1,6434.4,1,2,6,2004,Motorcycles,150,Medium
10276,43,100,14,5181.5,1,3,8,2004,Motorcycles,150,Medium
10285,49,100,5,6863.92,1,3,8,2004,Motorcycles,150,Medium
10299,24,100,8,4157.04,1,3,9,2004,Motorcycles,150,Medium
10309,26,100,4,4660.24,1,4,10,2004,Motorcycles,150,Medium
10319,30,100,9,4111.8,1,4,11,2004,Motorcycles,150,Medium
10329,24,100,6,3542.64,1,4,11,2004,Motorcycles,150,Medium
10341,55,100,8,8118.55,1,4,11,2004,Motorcycles,150,Large
10362,22,100,1,3877.06,1,1,1,2005,Motorcycles,150,Medium
10375,49,78.92,13,3867.08,1,1,2,2005,Motorcycles,150,Medium
10388,44,100,6,5951.44,1,1,3,2005,Motorcycles,150,Medium
10403,66,100,6,8648.64,1,2,4,2005,Motorcycles,150,Large
10104,34,100,1,5958.5,1,1,1,2003,Classic Cars,151,Medium
10117,43,100,10,5911.64,1,2,4,2003,Classic Cars,151,Medium
10127,46,100,3,7366.44,1,2,6,2003,Classic Cars,151,Large
10142,33,100,13,4985.64,1,3,8,2003,Classic Cars,151,Medium
10153,42,100,12,5393.64,1,3,9,2003,Classic Cars,151,Medium
10165,34,100,4,4880.02,1,4,10,2003,Classic Cars,151,Medium
10176,47,100,3,8378.69,1,4,11,2003,Classic Cars,151,Large
10185,33,100,14,4038.21,1,4,11,2003,Classic Cars,151,Medium
10196,24,100,6,3807.12,1,4,11,2003,Classic Cars,151,Medium
10208,26,100,14,3142.36,1,1,1,2004,Classic Cars,151,Medium
10220,30,100,3,4713.6,1,1,2,2004,Classic Cars,151,Medium
10230,43,100,1,7016.31,1,1,3,2004,Classic Cars,151,Large
10247,25,100,3,4381.25,1,2,5,2004,Classic Cars,151,Medium
10272,27,100,3,4283.01,1,3,7,2004,Classic Cars,151,Medium
10282,27,100,6,4364.82,1,3,8,2004,Classic Cars,151,Medium
10293,24,100,9,4242.24,1,3,9,2004,Classic Cars,151,Medium
10306,34,100,14,4982.7,1,4,10,2004,Classic Cars,151,Medium
10314,46,100,6,6393.54,1,4,10,2004,Classic Cars,151,Medium
10324,27,54.33,1,1466.91,1,4,11,2004,Classic Cars,151,Small
10336,33,100,11,4059.33,1,4,11,2004,Classic Cars,151,Medium
10348,47,100,4,4801.52,1,4,11,2004,Classic Cars,151,Medium
10358,49,55.34,5,2711.66,1,4,12,2004,Classic Cars,151,Small
10372,40,100,4,5862,1,1,1,2005,Classic Cars,151,Medium
10382,37,100,11,4071.85,1,1,2,2005,Classic Cars,151,Medium
10413,47,100,3,8236.75,1,2,5,2005,Classic Cars,151,Large
10108,45,100,4,6130.35,1,1,3,2003,Classic Cars,117,Medium
10122,37,99.82,8,3693.34,1,2,5,2003,Classic Cars,117,Medium
10135,48,100,5,6031.68,1,3,7,2003,Classic Cars,117,Medium
10147,31,100,5,3494.94,1,3,9,2003,Classic Cars,117,Medium
10160,46,100,6,5294.14,1,4,10,2003,Classic Cars,117,Medium
10170,47,100,4,5464.69,1,4,11,2003,Classic Cars,117,Medium
10181,28,100,12,2860.76,1,4,11,2003,Classic Cars,117,Small
10191,40,100,1,5590,1,4,11,2003,Classic Cars,117,Medium
10203,20,100,6,2254.8,1,4,12,2003,Classic Cars,117,Small
10212,39,100,16,4946.76,1,1,1,2004,Classic Cars,117,Medium
10225,25,99.82,7,2495.5,1,1,2,2004,Classic Cars,117,Small
10238,29,100,1,3167.38,1,2,4,2004,Classic Cars,117,Medium
10253,22,100,11,2402.84,0,2,6,2004,Classic Cars,117,Small
10266,22,100,12,2454.54,1,3,7,2004,Classic Cars,117,Small
10276,47,100,1,5464.69,1,3,8,2004,Classic Cars,117,Medium
10287,45,100,10,4756.5,1,3,8,2004,Classic Cars,117,Medium
10300,29,100,3,3984.6,1,4,10,2003,Classic Cars,117,Medium
10310,24,100,8,3100.32,1,4,10,2004,Classic Cars,117,Medium
10320,35,100,1,4850.3,1,4,11,2004,Classic Cars,117,Medium
10329,46,83.63,13,3846.98,1,4,11,2004,Classic Cars,117,Medium
10341,44,95.93,1,4220.92,1,4,11,2004,Classic Cars,117,Medium
10363,34,96.73,4,3288.82,1,1,1,2005,Classic Cars,117,Medium
10376,35,100,1,3987.2,1,1,2,2005,Classic Cars,117,Medium
10389,25,72.38,6,1809.5,1,1,3,2005,Classic Cars,117,Small
10419,10,100,11,1092.2,1,2,5,2005,Classic Cars,117,Small
10105,29,100,14,4566.05,1,1,2,2003,Classic Cars,173,Medium
10117,39,100,8,5938.14,1,2,4,2003,Classic Cars,173,Medium
10127,42,100,1,8138.76,1,2,6,2003,Classic Cars,173,Large
10142,46,100,11,9470.94,1,3,8,2003,Classic Cars,173,Large
10153,49,100,10,7036.89,1,3,9,2003,Classic Cars,173,Large
10165,27,100,2,5559.03,1,4,10,2003,Classic Cars,173,Medium
10176,50,100,1,7872.5,1,4,11,2003,Classic Cars,173,Large
10185,43,100,12,7886.2,1,4,11,2003,Classic Cars,173,Large
10196,38,100,4,7232.16,1,4,11,2003,Classic Cars,173,Large
10208,20,100,12,3114.4,1,1,1,2004,Classic Cars,173,Medium
10220,27,100,1,5045.22,1,1,2,2004,Classic Cars,173,Medium
10231,49,100,1,6952.12,1,1,3,2004,Classic Cars,173,Medium
10247,27,100,1,4157.73,1,2,5,2004,Classic Cars,173,Medium
10272,39,100,1,7962.24,1,3,7,2004,Classic Cars,173,Large
10282,24,100,4,3778.8,1,3,8,2004,Classic Cars,173,Medium
10293,45,100,7,8253,1,3,9,2004,Classic Cars,173,Large
10306,20,100,12,3633.4,1,4,10,2004,Classic Cars,173,Medium
10314,36,100,4,6913.8,1,4,10,2004,Classic Cars,173,Medium
10325,24,100,1,2583.6,1,4,11,2004,Classic Cars,173,Small
10336,49,63.38,1,3105.62,1,4,11,2004,Classic Cars,173,Medium
10349,26,100,10,4408.56,1,4,12,2004,Classic Cars,173,Medium
10359,49,62.09,5,3042.41,1,4,12,2004,Classic Cars,173,Medium
10372,34,100,1,5941.5,1,1,1,2005,Classic Cars,173,Medium
10382,34,95.35,12,3241.9,1,1,2,2005,Classic Cars,173,Medium
10396,33,100,3,6109.29,1,1,3,2005,Classic Cars,173,Medium
10413,22,100,1,3387.78,1,2,5,2005,Classic Cars,173,Medium
10108,39,89.38,7,3485.82,1,1,3,2003,Classic Cars,79,Medium
10122,32,63.84,11,2042.88,1,2,5,2003,Classic Cars,79,Small
10135,24,75.01,8,1800.24,1,3,7,2003,Classic Cars,79,Small
10147,21,63.84,8,1340.64,1,3,9,2003,Classic Cars,79,Small
10159,24,73.42,3,1762.08,1,4,10,2003,Classic Cars,79,Small
10169,36,63.84,3,2298.24,1,4,11,2003,Classic Cars,79,Small
10181,20,81.4,15,1628,1,4,11,2003,Classic Cars,79,Small
10191,30,64.64,4,1939.2,1,4,11,2003,Classic Cars,79,Small
10203,44,82.99,9,3651.56,1,4,12,2003,Classic Cars,79,Medium
10211,28,92.57,3,2591.96,1,1,1,2004,Classic Cars,79,Small
10225,37,77.41,10,2864.17,1,1,2,2004,Classic Cars,79,Small
10238,20,74.21,4,1484.2,1,2,4,2004,Classic Cars,79,Small
10253,25,90.17,14,2254.25,0,2,6,2004,Classic Cars,79,Small
10266,35,76.61,15,2681.35,1,3,7,2004,Classic Cars,79,Small
10276,38,83.79,4,3184.02,1,3,8,2004,Classic Cars,79,Medium
10287,41,69.43,13,2846.63,1,3,8,2004,Classic Cars,79,Small
10300,22,76.61,6,1685.42,1,4,10,2003,Classic Cars,79,Small
10310,49,81.4,11,3988.6,1,4,10,2004,Classic Cars,79,Medium
10320,38,73.42,4,2789.96,1,4,11,2004,Classic Cars,79,Small
10329,33,100,14,3607.56,1,4,11,2004,Classic Cars,79,Medium
10341,36,93.56,10,3368.16,1,4,11,2004,Classic Cars,79,Medium
10363,34,81.62,5,2775.08,1,1,1,2005,Classic Cars,79,Small
10377,24,67.83,5,1627.92,1,1,2,2005,Classic Cars,79,Small
10389,36,70.26,7,2529.36,1,1,3,2005,Classic Cars,79,Small
10419,34,90.17,14,3065.78,1,2,5,2005,Classic Cars,79,Medium
10104,41,100,9,4615.78,1,1,1,2003,Trucks and Buses,118,Medium
10115,46,100,5,5723.78,1,2,4,2003,Trucks and Buses,118,Medium
10127,24,100,11,2559.6,1,2,6,2003,Trucks and Buses,118,Small
10141,21,100,5,2140.11,1,3,8,2003,Trucks and Buses,118,Small
10151,24,100,3,3327.6,1,3,9,2003,Trucks and Buses,118,Medium
10165,48,100,12,6825.6,1,4,10,2003,Trucks and Buses,118,Medium
10175,26,100,1,3543.28,1,4,11,2003,Trucks and Buses,118,Medium
10184,37,100,6,4516.22,1,4,11,2003,Trucks and Buses,118,Medium
10195,49,100,6,6445.46,1,4,11,2003,Trucks and Buses,118,Medium
10207,34,99.54,7,3384.36,1,4,12,2003,Trucks and Buses,118,Medium
10219,48,100,2,4891.68,1,1,2,2004,Trucks and Buses,118,Medium
10229,36,100,1,4521.96,1,1,3,2004,Trucks and Buses,118,Medium
10246,46,100,5,5069.66,1,2,5,2004,Trucks and Buses,118,Medium
10259,46,100,4,6541.2,1,2,6,2004,Trucks and Buses,118,Medium
10271,31,97.17,5,3012.27,1,3,7,2004,Trucks and Buses,118,Medium
10281,41,100,1,5247.18,1,3,8,2004,Trucks and Buses,118,Medium
10292,21,100,8,2214.87,1,3,9,2004,Trucks and Buses,118,Small
10305,38,100,5,4773.18,1,4,10,2004,Trucks and Buses,118,Medium
10314,45,100,14,6185.7,1,4,10,2004,Trucks and Buses,118,Medium
10324,26,58.38,7,1517.88,1,4,11,2004,Trucks and Buses,118,Small
10336,38,100,3,6372.6,1,4,11,2004,Trucks and Buses,118,Medium
10349,48,100,9,5232.96,1,4,12,2004,Trucks and Buses,118,Medium
10358,42,64.16,9,2694.72,1,4,12,2004,Trucks and Buses,118,Small
10371,49,35.71,4,1749.79,1,1,1,2005,Trucks and Buses,118,Small
10382,32,66.58,13,2130.56,1,1,2,2005,Trucks and Buses,118,Small
